"","Record_ID","Stop_ID","Timestamp","Email_Masked","Main_Street","Nearest_Landmark","Routes","Direction","Seating","Shelter","Trash_Can","Cleanliness","Line_of_Sight","Wayfinding","Wayfinding_Accessibility","Lighting","Sidewalk","Obstacles","Obstacle_Desc","Boarding_Area","Crosswalks","Crosswalk_Features","Behavior","On_Site_Survey","Additional_Comments"
"1",32,"104076",2020-07-11 13:16:21,"71c07fa537390d240fc6aa0e2835aaafb7a9c5d6","MEMORIAL DR SE","PEARL ST SE","107, 21","Westbound","No, there is no seating","No","No",NA,"Yes","Customer Service Information","No wayfinding information present","Yes","Yes, in both directions","No",NA,"Concrete sidewalk","Yes, on the main street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons, Tactile guide strips for the visually impaired","Pedestrians using informal pathways where sidewalks do not exist, Pedestrians crossing the roadway at midblock locations, Pedestrians running across roadways to catch the bus, Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","No","The stop is right up on the corner and cars regularly hop the curb making right turns at the intersection. Also cars use the turn lane to go around stopped busses all the time. It's also brutally hot most of the time."
"2",921,"104076",NA,"62b8dda701ef524b878997dc58399ed098f00cdb","MEMORIAL DR SE","PEARL ST SE","107, 21","Westbound","No, there is no seating","No","No",NA,"Yes","None of the Above","No wayfinding information present","No","Yes, in both directions","No",NA,"Concrete sidewalk","Yes, on the main street, Yes, on the cross street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons, Tactile guide strips for the visually impaired","Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","Yes","Active construction site behind bus stop. Fence on edge of sidewalk."
"3",513,"105228",2020-09-21 09:01:59,"a6da9810c2d7e58e42d50366c93676dbc0b9e0c0","Memorial Dr","WILKINSON DR SE","21","Westbound","No, there is no seating","No","No","Litter at the stop","No","None of the Above","No wayfinding information present","Yes","Yes, in both directions","No",NA,"Grass or dirt","Yes, on the main street, Yes, on the cross street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons, Tactile guide strips for the visually impaired","Pedestrians using informal pathways where sidewalks do not exist, Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","Yes","Yes- cars use left hand turn lane at the stop light to speed around buses but the bus stop is located on a hill so cars can't see anything as they pass the bus until they get started down the hill."
"4",8575,"105228",NA,"62b8dda701ef524b878997dc58399ed098f00cdb","MEMORIAL DR SE","WILKINSON DR SE","21","Westbound","No, there is no seating","No","No",NA,"Yes","None of the Above","No wayfinding information present","No","Yes, in both directions","No",NA,"Gravel","Yes, on the main street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons, Tactile guide strips for the visually impaired","Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","No",""
"5",738,"105228",NA,"a6da9810c2d7e58e42d50366c93676dbc0b9e0c0","Memorial Dr","WILKINSON DR SE","21","Westbound","No, there is no seating","No","No",NA,"No","None of the Above","No wayfinding information present","Yes","Yes, in both directions","No",NA,"Concrete sidewalk","Yes, on the main street, Yes, on the cross street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons","Pedestrians using informal pathways where sidewalks do not exist, Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","Yes","Yes- cars use left hand turn lane at the stop light to speed around buses but the bus stop is located on a hill so cars can't see anything as they pass the bus until they get started down the hill."
"6",211,"105382",NA,"555718f27fc3ac40e8a65825377a9db531ab0cf4","Hosea L Williams Dr SE","Rogers St","24","Eastbound","No, there is no seating","No","No","Litter at the stop","Yes","None of the Above","No wayfinding information present","No","Yes, in both directions","Yes","Bike lane and ""no park plastic pieces in street""","Grass or dirt","Yes, on the main street, Yes, on the cross street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons","Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","No",""
"7",577,"105382",NA,"555718f27fc3ac40e8a65825377a9db531ab0cf4","1779 Hosea L Williams Dr","Rogers St","24","Eastbound","No, there is no seating","No","No",NA,"Yes","None of the Above","No wayfinding information present","No","No","Yes","Bike lane and ""no park plastic pieces in street""","Grass or dirt","Yes, on the main street, Yes, on the cross street","Traffic light, Curb cuts for wheelchairs, Crosswalk signals with push buttons","Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","No","No"
"8",1224,"106398",2020-08-21 09:37:42,"357ec452c426c89f1e34dd5187bfc327c59a8766","S CANDLER ST","E PHARR RD","15","Northbound","No, there is no seating","No","Yes","Overflowing or poorly maintained trash can","No","Customer Service Information","No wayfinding information present","No","Yes, in both directions","No",NA,"Concrete sidewalk","Yes, on the cross street","Curb cuts for wheelchairs, Tactile guide strips for the visually impaired","Pedestrians crossing the roadway at midblock locations, Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","Yes",""
"9",6479,"106398",NA,"357ec452c426c89f1e34dd5187bfc327c59a8766","S CANDLER ST","E PHARR RD","15","Northbound","No, there is no seating","No","Yes",NA,"No","Route Map","No","No","Yes, in both directions","No",NA,"Concrete sidewalk","No, no painted crosswalk within 100 feet","","Pedestrians crossing the roadway at midblock locations, Dangerous motorist behavior around bus stop (i.e. speeding or not yielding to pedestrians)","Yes",""
"10",2711,"107262",2020-08-15 22:17:31,"ccb4ec5a2448259ac81d3b1c3d9ae50b6309afc1","SNAPFINGER RD","COLUMBIA DR","86","Westbound","No, there is no seating","No","No",NA,"No","Customer Service Information","No wayfinding information present","I don't know","No","Yes","no sidewalk and no way for wheelchair to access","Grass or dirt","No, no painted crosswalk within 100 feet","","Pedestrians using informal pathways where sidewalks do not exist, None of the above (first visit to this stop)","No","dirty sign"
