"","stop_id","Main_Street_or_Station","Cross_Street","Stop_Lat","Stop_Lon","Routes_Final","Direction_Final"
"1","100004","JOSEPH E LOWERY BLVD","BECKWITH ST SW",33.752636,-84.417759,"1, 68","SB/WB, SB/WB"
"2","100006","JOSEPH E LOWERY BLVD","PARSONS ST SW",33.751251,-84.417762,"1, 68","SB/WB, SB/WB"
"3","100008","JOSEPH E LOWERY BLVD","ASHBY GRV SW",33.750144,-84.417732,"1, 68","SB/WB, SB/WB"
"4","100010","JOSEPH E LOWERY BLVD","FAIR ST SW",33.749364,-84.417742,"1, 68","SB/WB, SB/WB"
"5","100012","JOSEPH E LOWERY BLVD","WESTVIEW DR SW",33.746685,-84.417803,"1, 68","SB/WB, SB/WB"
"6","100014","JOSEPH E LOWERY BLVD","SELLS AVE SW",33.745587,-84.417784,"1, 68","SB/WB, SB/WB"
"7","100016","W END AVE SW","ASHBY ST SW",33.744255,-84.416588,"68","SB/WB"
"8","100017","W END AVE SW","WELLBORN ST SW",33.744304,-84.415499,"68","SB/WB"
"9","100022","W END AVE SW","ASHBY ST SW",33.744724,-84.417207,"68","NB/EB"
"10","100024","JOSEPH E LOWERY BLVD","ATLANTA STUDENT MOVEMENT BLVD",33.749024,-84.417337,"1, 68","NB/EB, NB/EB"
"11","100026","JOSEPH E LOWERY BLVD","PARSONS ST SW",33.75063,-84.417277,"1, 68","NB/EB, NB/EB"
"12","100028","JOSEPH E LOWERY BLVD","BECKWITH ST SW",33.752027,-84.417322,"1, 68","NB/EB, NB/EB"
"13","100030","ATLANTA STUDENT MOVEMENT BLVD","EUHRLEE ST SW",33.749264,-84.416015,"813","SB/WB"
"14","100032","ATLANTA STUDENT MOVEMENT BLVD","OGDEN ST SW",33.749236,-84.416809,"813","SB/WB"
"15","100035","FAIR ST SW","JOSEPH E LOWERY BLVD",33.748985,-84.418059,"813","NB/EB"
"16","100036","FAIR ST SW","ABBOTT ST SW",33.748959,-84.419167,"813","NB/EB"
"17","100038","FAIR ST SW","AGNES JONES PL SW",33.748981,-84.420273,"813","NB/EB"
"18","100040","FAIR ST SW","JOSE ST SW",33.74892,-84.421694,"813","NB/EB"
"19","100042","FAIR ST SW","LAWTON ST SW",33.749088,-84.423135,"813","SB/WB"
"20","100043","FAIR ST SW","SAINT JOSE ST SW",33.749272,-84.421726,"813","SB/WB"
"21","100044","ATLANTA STUDENT MOVEMENT BLVD","EUHARLEE ST SW",33.749192,-84.416048,"813","NB/EB"
