OID_,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,JOIN_FID,NAME,Record_ID,Id_of_stop,Stop_Lat,Stop_Lon,CITY
0,1,417,1,1,-1,Clayton,6696,166198,33.639586999999999,-84.457076999999998,College Park
1,1,417,1,2,-1,Clayton,16,166205,33.643529999999998,-84.453739999999996,College Park
2,1,417,1,3,-1,Clayton,466,176066,33.625137000000002,-84.458008000000007,College Park
3,1,417,1,4,-1,Clayton,3327,176068,33.628410000000002,-84.457863000000003,College Park
4,1,417,1,5,-1,Clayton,1764,176070,33.631785000000001,-84.457960999999997,College Park
5,1,417,1,6,-1,Clayton,4874,176070,33.631785000000001,-84.457960999999997,College Park
6,1,417,1,7,-1,Clayton,2266,176224,33.630378999999998,-84.457970000000003,College Park
7,1,417,1,8,-1,Clayton,4302,176224,33.630378999999998,-84.457970000000003,College Park
8,1,417,1,9,-1,Clayton,2604,211599,33.627066999999997,-84.457975000000005,College Park
9,1,417,1,10,-1,Clayton,6986,211655,33.639600000000002,-84.457812000000004,College Park
10,1,417,1,11,-1,Clayton,5850,211655,33.639600000000002,-84.457812000000004,College Park
11,1,417,1,12,-1,Clayton,6474,211979,33.641016999999998,-84.456023000000002,College Park
12,1,417,1,13,-1,Clayton,7130,211980,33.640883000000002,-84.456012000000001,College Park
13,1,417,1,14,-1,Clayton,1899,212079,33.615028000000002,-84.350346000000002,Lake City
14,1,417,1,15,-1,Clayton,6039,212080,33.618088000000000,-84.357552999999996,Forest Park
15,1,417,0,16,1575,Clayton,3409,212098,33.599800000000002,-84.428916000000001, 
16,1,417,0,17,1576,Clayton,354,212099,33.602046000000001,-84.430047000000002, 
17,1,417,0,18,1577,Clayton,3958,212100,33.605666999999997,-84.435141000000002, 
18,1,417,0,19,1578,Clayton,1152,212103,33.612394999999999,-84.436885000000004, 
19,1,417,0,20,1579,Clayton,1109,212110,33.594327000000000,-84.409858000000000, 
20,1,417,0,21,1580,Clayton,3523,212111,33.594647999999999,-84.412255999999999, 
21,1,417,0,22,1581,Clayton,5887,212112,33.596021999999998,-84.417670999999999, 
22,1,417,1,23,-1,Clayton,3713,212121,33.573338999999997,-84.412415999999993,Riverdale
23,1,417,1,24,-1,Clayton,3685,212123,33.578398000000000,-84.411945000000003,Riverdale
24,1,417,1,25,-1,Clayton,2121,212124,33.581881000000003,-84.411298000000002,Riverdale
25,1,417,0,26,1585,Clayton,4828,212125,33.589959000000000,-84.408908999999994, 
26,1,417,1,27,-1,Clayton,698,212128,33.560603999999998,-84.416967999999997,Riverdale
27,1,417,1,28,-1,Clayton,1333,212141,33.570973000000002,-84.402804000000003,Riverdale
28,1,417,1,29,-1,Clayton,976,212143,33.564782999999998,-84.408458999999993,Riverdale
29,1,417,1,30,-1,Clayton,472,212144,33.561182000000002,-84.410883999999996,Riverdale
30,1,417,1,31,-1,Clayton,6095,212144,33.561182000000002,-84.410883999999996,Riverdale
31,1,417,0,32,1591,Clayton,771,212152,33.581829999999997,-84.378538000000006, 
32,1,417,0,33,1592,Clayton,3306,212153,33.580081999999997,-84.381259999999997, 
33,1,417,0,34,1593,Clayton,1986,212154,33.579445999999997,-84.383374000000003, 
34,1,417,0,35,1594,Clayton,11,212156,33.577840000000002,-84.389448000000002, 
35,1,417,1,36,-1,Clayton,1033,212159,33.574261999999997,-84.399326000000002,Riverdale
36,1,417,1,37,-1,Clayton,56,212168,33.573785999999998,-84.350014000000002,Morrow
37,1,417,0,38,1597,Clayton,1763,212170,33.571561000000003,-84.351145000000002, 
38,1,417,0,39,1598,Clayton,1450,212171,33.571944999999999,-84.354724000000004, 
39,1,417,1,40,-1,Clayton,3070,212172,33.572293000000002,-84.357598999999993,Morrow
40,1,417,0,41,1600,Clayton,3588,212173,33.572738999999999,-84.363303999999999, 
41,1,417,0,42,1601,Clayton,943,212174,33.572971000000003,-84.367609999999999, 
42,1,417,0,43,1602,Clayton,223,212175,33.573067999999999,-84.370375999999993, 
43,1,417,0,44,1603,Clayton,1527,212176,33.574061000000000,-84.371623999999997, 
44,1,417,1,45,-1,Clayton,2126,212213,33.566381999999997,-84.413059000000004,Riverdale
45,1,417,1,46,-1,Clayton,1606,212215,33.562916999999999,-84.413336999999999,Riverdale
46,1,417,1,47,-1,Clayton,1130,212216,33.572949000000001,-84.348944000000003,Morrow
47,1,417,1,48,-1,Clayton,1409,212231,33.619464999999998,-84.362459000000001,Forest Park
48,1,417,1,49,-1,Clayton,5158,212236,33.506028000000001,-84.360042000000007,Jonesboro
49,1,417,1,50,-1,Clayton,44,212236,33.506028000000001,-84.360042000000007,Jonesboro
50,1,417,1,51,-1,Clayton,1066,212237,33.570337000000002,-84.404116000000002,Riverdale
51,1,417,1,52,-1,Clayton,835,212238,33.578727000000001,-84.415383000000006,Riverdale
52,1,417,1,53,-1,Clayton,1554,212355,33.616925000000002,-84.353971000000001,Forest Park
53,1,417,1,54,-1,Clayton,292,212356,33.620314999999998,-84.365095999999994,Forest Park
54,1,417,1,55,-1,Clayton,3758,212357,33.621232999999997,-84.373756999999998,Forest Park
55,1,417,1,56,-1,Clayton,462,212358,33.620775000000002,-84.376839000000004,Forest Park
56,1,417,1,57,-1,Clayton,2618,212359,33.620178000000003,-84.382210000000001,Forest Park
57,1,417,0,58,1639,Clayton,2288,212377,33.536678999999999,-84.418370999999993, 
58,1,417,0,59,1640,Clayton,6051,212378,33.533419000000002,-84.419342000000000, 
59,1,417,0,60,1641,Clayton,2860,212379,33.530552999999998,-84.420216999999994, 
60,1,417,0,61,1642,Clayton,8711,212379,33.530552999999998,-84.420216999999994, 
61,1,417,0,62,1643,Clayton,1295,212380,33.526890000000002,-84.421859999999995, 
62,1,417,0,63,1644,Clayton,4974,212381,33.521766999999997,-84.423316999999997, 
63,1,417,0,64,1645,Clayton,2918,212382,33.520488999999998,-84.420270000000002, 
64,1,417,0,65,1646,Clayton,3972,212383,33.518690999999997,-84.417731000000003, 
65,1,417,0,66,1647,Clayton,4231,212385,33.518355999999997,-84.411975999999996, 
66,1,417,0,67,1648,Clayton,3019,212386,33.518268999999997,-84.407878999999994, 
67,1,417,0,68,1649,Clayton,6800,212387,33.518298000000001,-84.404443000000001, 
68,1,417,0,69,1650,Clayton,4157,212394,33.517892000000003,-84.379698000000005, 
69,1,417,0,70,1651,Clayton,3795,212398,33.517898000000002,-84.366139000000004, 
70,1,417,0,71,1652,Clayton,279,212399,33.517994999999999,-84.369347000000005, 
71,1,417,0,72,1653,Clayton,3956,212400,33.518056000000001,-84.374105000000000, 
72,1,417,0,73,1654,Clayton,2223,212406,33.518293000000000,-84.399738999999997, 
73,1,417,0,74,1655,Clayton,509,212414,33.531297000000002,-84.419697999999997, 
74,1,417,0,75,1656,Clayton,5154,212415,33.534351000000001,-84.418768999999998, 
75,1,417,0,76,1657,Clayton,2622,212416,33.537072999999999,-84.417936999999995, 
76,1,417,1,77,-1,Clayton,3586,212419,33.551062000000002,-84.414429999999996,Riverdale
77,1,417,0,78,1659,Clayton,5202,212426,33.539709999999999,-84.385317999999998, 
78,1,417,0,79,1660,Clayton,8213,212427,33.535184999999998,-84.372078000000002, 
79,1,417,0,80,1661,Clayton,8099,212428,33.525905000000002,-84.422129999999996, 
80,1,417,0,81,1662,Clayton,682,212433,33.542282000000000,-84.396378999999996, 
81,1,417,0,82,1663,Clayton,1356,212438,33.593488000000001,-84.428950999999998, 
82,1,417,0,83,1664,Clayton,4381,212439,33.640531000000003,-84.417143999999993, 
83,1,417,0,84,1665,Clayton,6839,212442,33.610536000000003,-84.325440000000000, 
84,1,417,0,85,1666,Clayton,1112,212466,33.554425000000002,-84.347030000000004, 
85,1,417,0,86,1667,Clayton,7192,212468,33.537841999999998,-84.351286000000002, 
86,1,417,0,87,1668,Clayton,6125,212469,33.553206000000003,-84.351181999999994, 
87,1,417,0,88,1669,Clayton,8570,212479,33.534363999999997,-84.364142000000001, 
88,1,417,0,89,1670,Clayton,7992,212480,33.538285999999999,-84.365173999999996, 
89,1,417,0,90,1671,Clayton,1997,212481,33.545223999999997,-84.368712000000002, 
90,1,417,0,91,1672,Clayton,6718,212482,33.552090000000000,-84.370039000000006, 
91,1,417,0,92,1673,Clayton,8475,212490,33.559438999999998,-84.345620999999994, 
92,1,417,0,93,1674,Clayton,3531,212494,33.640130999999997,-84.393428000000000, 
93,1,417,0,94,1675,Clayton,3657,212495,33.640296999999997,-84.393265000000000, 
94,1,417,0,95,1676,Clayton,601,212496,33.518436000000001,-84.363428999999996, 
95,1,417,0,96,1677,Clayton,1277,212498,33.642749999999999,-84.390342000000004, 
96,1,417,0,97,1678,Clayton,384,212499,33.637903999999999,-84.390647999999999, 
97,1,417,0,98,1679,Clayton,7528,212506,33.523746000000003,-84.363203999999996, 
98,1,417,1,99,-1,Clayton,592,212510,33.621780999999999,-84.369687999999996,Forest Park
99,1,417,1,100,-1,Clayton,7464,212516,33.513798999999999,-84.361020999999994,Jonesboro
100,1,417,1,101,-1,Clayton,5200,212517,33.528733000000003,-84.363044000000002,Jonesboro
101,1,417,1,102,-1,Clayton,1313,212518,33.537877999999999,-84.351145000000002,Jonesboro
102,1,417,1,103,-1,Clayton,8274,212519,33.542203000000001,-84.350093999999999,Jonesboro
103,1,417,1,104,-1,Clayton,5196,212522,33.531734999999998,-84.353808999999998,Jonesboro
104,1,417,1,105,-1,Clayton,7512,212527,33.570112000000002,-84.342901999999995,Morrow
105,1,417,1,106,-1,Clayton,1897,212536,33.575307000000002,-84.414490000000001,Riverdale
106,1,417,1,107,-1,Clayton,4037,212538,33.578806999999998,-84.415525000000002,Riverdale
107,1,417,1,108,-1,Clayton,3872,212540,33.621130999999998,-84.383257999999998,Forest Park
108,1,417,1,109,-1,Clayton,3080,212542,33.627217000000002,-84.385667999999995,Forest Park
109,1,417,1,110,-1,Clayton,153,212571,33.595289000000001,-84.337288000000001,Morrow
110,1,417,1,111,-1,Clayton,1053,212575,33.570630999999999,-84.342868999999993,Morrow
111,1,417,0,112,1697,Clayton,6761,212576,33.564382000000002,-84.344342999999995, 
112,1,417,1,113,-1,Clayton,6417,212577,33.580364000000003,-84.340159999999997,Morrow
113,1,417,1,114,-1,Clayton,77,212578,33.583829000000001,-84.339173000000002,Morrow
114,1,417,1,115,-1,Clayton,1593,212579,33.588225000000001,-84.338024000000004,Morrow
115,1,417,1,116,-1,Clayton,363,212600,33.598511999999999,-84.338503000000003,Lake City
116,1,417,1,117,-1,Clayton,5259,212601,33.601412000000003,-84.339675999999997,Lake City
117,1,417,1,118,-1,Clayton,540,212602,33.607294000000003,-84.343582999999995,Lake City
118,1,417,1,119,-1,Clayton,264,212625,33.441336000000000,-84.331166999999994,Lovejoy
119,1,417,1,120,-1,Clayton,4648,212638,33.611246999999999,-84.382259000000005,Forest Park
120,1,417,1,121,-1,Clayton,2418,212639,33.607371000000001,-84.381138000000007,Forest Park
121,1,417,0,122,1708,Clayton,1078,212651,33.567757999999998,-84.371772000000007, 
122,1,417,0,123,1709,Clayton,8677,212656,33.556289000000000,-84.370558000000003, 
123,1,417,0,124,1710,Clayton,3212,212659,33.562154000000000,-84.371117999999996, 
124,1,417,0,125,1711,Clayton,7628,212660,33.564794999999997,-84.371054000000001, 
125,1,417,1,126,-1,Clayton,1445,212670,33.604121999999997,-84.380105000000000,Forest Park
126,1,417,1,127,-1,Clayton,2305,212673,33.615284000000003,-84.383129999999994,Forest Park
127,1,417,1,128,-1,Clayton,42,212715,33.645297999999997,-84.340063999999998,Conley
128,1,417,1,129,-1,Clayton,7099,212732,33.583477999999999,-84.419293999999994,Riverdale
129,1,417,0,130,1726,Clayton,7738,212809,33.537162000000002,-84.377596999999994, 
130,1,417,0,131,1735,Clayton,4230,212852,33.640974000000000,-84.405023000000000, 
131,1,417,0,132,1746,Clayton,6504,212918,33.591071999999997,-84.427634999999995, 
132,1,417,0,133,1753,Clayton,6548,212955,33.626216999999997,-84.409284000000000, 
133,1,417,0,134,1754,Clayton,2469,212956,33.625321999999997,-84.409153000000003, 
134,1,417,0,135,1755,Clayton,5276,212957,33.622028000000000,-84.408162000000004, 
135,1,417,0,136,1756,Clayton,5077,212958,33.622798000000003,-84.408563999999998, 
136,1,417,1,137,-1,Clayton,5544,213016,33.529513999999999,-84.354382999999999,Jonesboro
137,1,417,1,138,-1,Clayton,1953,213020,33.523927000000000,-84.356960999999998,Jonesboro
138,1,417,0,139,1806,Clayton,5729,213130,33.627954000000003,-84.409796000000000, 
139,1,417,0,140,1807,Clayton,3222,213131,33.628213000000002,-84.409774999999996, 
140,1,417,0,141,1808,Clayton,6031,213132,33.628266000000004,-84.411869999999993, 
141,1,417,1,142,-1,Clayton,1020,213158,33.625152000000000,-84.395932999999999,Forest Park
142,1,417,0,143,1824,Clayton,3832,213180,33.563003999999999,-84.337575000000001, 
143,1,417,0,144,1828,Clayton,3113,213185,33.564310999999996,-84.337207000000006, 
144,1,417,1,145,-1,Clayton,4999,213187,33.567275000000002,-84.337412999999998,Morrow
145,1,417,1,146,-1,Clayton,6337,213189,33.567802999999998,-84.337446000000000,Morrow
146,1,417,1,147,-1,Clayton,3440,213194,33.570864999999998,-84.337836999999993,Morrow
147,1,417,1,148,-1,Clayton,2351,213221,33.617944000000001,-84.449580999999995,College Park
148,1,417,0,149,1906,Clayton,2686,213465,33.617064999999997,-84.413235999999998, 
149,1,417,0,150,1907,Clayton,1642,213466,33.616562999999999,-84.413342999999998, 
150,1,417,0,151,1908,Clayton,4124,213467,33.614590000000000,-84.410991999999993, 
151,1,417,0,152,1909,Clayton,1172,213468,33.614840999999998,-84.411049000000006, 
152,1,417,0,153,1910,Clayton,499,213469,33.612392999999997,-84.409366000000006, 
153,1,417,0,154,1911,Clayton,7317,213470,33.611787999999997,-84.408659999999998, 
154,1,417,0,155,1912,Clayton,2230,213471,33.612484000000002,-84.403217999999995, 
155,1,417,0,156,1913,Clayton,7060,213472,33.612594000000001,-84.403598000000002, 
156,1,417,0,157,1964,Clayton,2817,213619,33.550476000000003,-84.429739999999995, 
157,1,417,0,158,1965,Clayton,6686,213622,33.550581999999999,-84.431442000000004, 
158,1,417,0,159,1966,Clayton,6437,213623,33.550930999999999,-84.449323000000007, 
159,1,417,0,160,1979,Clayton,5022,213681,33.550614000000003,-84.438247000000004, 
160,1,417,0,161,1980,Clayton,2530,213682,33.550756999999997,-84.436374999999998, 
161,1,419,1,162,-1,Cobb,4122,900079,33.878129999999999,-84.469189999999998,Vinings
162,1,419,1,163,-1,Cobb,575,900124,33.878098999999999,-84.457390000000004,Vinings
