OID_,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Field1,stop_id,Main_Stree,Cross_Stre,Stop_Lat,Stop_Lon,Routes_Fin,Direction_,NAME,NAME_1,CLASS,CNTY_FIPS,FID_1,PLACEFIPS,POPULATION,POP_CLASS,POP_SQMI,SQMI
0,1,1,1,1,1,100004,JOSEPH E LOWERY BLVD,BECKWITH ST SW,33.752636000000003,-84.417759000000004,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
1,1,2,1,2,2,100006,JOSEPH E LOWERY BLVD,PARSONS ST SW,33.751251000000003,-84.417761999999996,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
2,1,3,1,3,3,100008,JOSEPH E LOWERY BLVD,ASHBY GRV SW,33.750143999999999,-84.417732000000001,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
3,1,4,1,4,4,100010,JOSEPH E LOWERY BLVD,FAIR ST SW,33.749364000000000,-84.417742000000004,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
4,1,5,1,5,5,100012,JOSEPH E LOWERY BLVD,WESTVIEW DR SW,33.746684999999999,-84.417803000000006,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
5,1,6,1,6,6,100014,JOSEPH E LOWERY BLVD,SELLS AVE SW,33.745587000000000,-84.417783999999997,"1, 68","SB/WB, SB/WB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
6,1,7,1,7,7,100016,W END AVE SW,ASHBY ST SW,33.744255000000003,-84.416588000000004,68,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
7,1,8,1,8,8,100017,W END AVE SW,WELLBORN ST SW,33.744304000000000,-84.415498999999997,68,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
8,1,9,1,9,9,100022,W END AVE SW,ASHBY ST SW,33.744723999999998,-84.417207000000005,68,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
9,1,10,1,10,10,100024,JOSEPH E LOWERY BLVD,ATLANTA STUDENT MOVEMENT BLVD,33.749023999999999,-84.417337000000003,"1, 68","NB/EB, NB/EB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
10,1,11,1,11,11,100026,JOSEPH E LOWERY BLVD,PARSONS ST SW,33.750630000000001,-84.417276999999999,"1, 68","NB/EB, NB/EB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
11,1,12,1,12,12,100028,JOSEPH E LOWERY BLVD,BECKWITH ST SW,33.752026999999998,-84.417321999999999,"1, 68","NB/EB, NB/EB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
12,1,13,1,13,13,100030,ATLANTA STUDENT MOVEMENT BLVD,EUHRLEE ST SW,33.749263999999997,-84.416015000000002,813,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
13,1,14,1,14,14,100032,ATLANTA STUDENT MOVEMENT BLVD,OGDEN ST SW,33.749236000000003,-84.416809000000001,813,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
14,1,15,1,15,15,100035,FAIR ST SW,JOSEPH E LOWERY BLVD,33.748984999999998,-84.418059000000000,813,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
15,1,16,1,16,16,100036,FAIR ST SW,ABBOTT ST SW,33.748958999999999,-84.419167000000002,813,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
16,1,17,1,17,17,100038,FAIR ST SW,AGNES JONES PL SW,33.748981000000001,-84.420272999999995,813,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
17,1,18,1,18,18,100040,FAIR ST SW,JOSE ST SW,33.748919999999998,-84.421694000000002,813,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
18,1,19,1,19,19,100042,FAIR ST SW,LAWTON ST SW,33.749088000000000,-84.423135000000002,813,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
19,1,20,1,20,20,100043,FAIR ST SW,SAINT JOSE ST SW,33.749271999999998,-84.421726000000007,813,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
20,1,21,1,21,21,100044,ATLANTA STUDENT MOVEMENT BLVD,EUHARLEE ST SW,33.749192000000001,-84.416048000000004,813,NB/EB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
21,1,22,1,22,22,100045,FAIR ST SW,AGNES JONES PL SW,33.749161999999998,-84.420461000000003,813,SB/WB,Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
22,1,23,1,23,23,100046,JOSEPH E LOWERY BLVD,MITCHELL ST SW,33.753318000000000,-84.417466000000005,"1, 68","NB/EB, NB/EB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
23,1,24,1,24,24,100048,JOSEPH E LOWERY BLVD,MARTIN L KING JR DR,33.754524000000004,-84.417345999999995,"1, 68","NB/EB, NB/EB",Fulton,Atlanta,city,121,11454,1304000,503991,9,3685.000000000000000,136.770000000000010
